Date,treatment,NOflux,N2Oflux
,,ng N/m2 sec,mg N/m2 sec
10/25/2023,Predetermined,2.527595711,0.134413681
10/25/2023,Predetermined,2.527595711,0.134413681
10/25/2023,Predetermined,2.108049161,0.035585511
10/25/2023,Predetermined,2.108049161,0.035585511
10/25/2023,Predetermined,1.110112188,
10/25/2023,Predetermined,0.446899949,0.097145005
10/25/2023,Predetermined,0.446899949,0.097145005
10/25/2023,Predetermined,0.924366023,0.009222036
10/25/2023,Predetermined,0.924366023,0.009222036
10/25/2023,Predetermined,1.461283003,0.07061915
10/25/2023,Predetermined,1.461283003,0.07061915
10/25/2023,Predetermined,0.543057616,
10/25/2023,Predetermined,1.459271747,0.052051919
10/25/2023,Predetermined,1.459271747,0.052051919
10/25/2023,Predetermined,0.971325222,0.054728896
10/25/2023,Predetermined,0.971325222,0.054728896
10/25/2023,Predetermined,1.04219819,
10/25/2023,Predetermined,1.04219819,
11/8/2023,Predetermined,0.796633828,0.07937493
11/8/2023,Predetermined,2.30426694,
11/8/2023,Predetermined,1.228877955,
11/8/2023,Predetermined,1.031728236,
11/8/2023,Predetermined,,
11/8/2023,Predetermined,1.420098183,
11/8/2023,Predetermined,1.09635733,
11/8/2023,Predetermined,1.279716409,
11/29/2023,Predetermined,0.913045868,0.001980249
11/29/2023,Predetermined,,0.004605804
11/29/2023,Predetermined,0.656786478,
11/29/2023,Predetermined,1.044825002,0.122598669
11/29/2023,Predetermined,1.491368767,0.099933416
11/29/2023,Predetermined,0.99558425,0.104362235
11/29/2023,Predetermined,0.800358556,0.088280815
11/29/2023,Predetermined,0.702449863,
11/29/2023,Predetermined,0.350643085,0.029882414
11/29/2023,Predetermined,0.347876181,
12/13/2023,Predetermined,0.317740951,
12/13/2023,Predetermined,0.460299919,0.014349517
12/13/2023,Predetermined,0.19375392,
12/13/2023,DSNB,0.358652547,0.071757109
12/13/2023,DSNB,0.832337814,
12/13/2023,DSNB,0.282953428,
12/13/2023,DSNB,0.346810799,0.107780012
12/13/2023,DSNB,0.336018643,0.04180859
