,ID,Date,num,NOflux,treatment
0,B2,12/12/2024,1,0.006561389,predetermined
1,A2,12/12/2024,2,0.009251166,DSNB
2,A3,12/12/2024,3,0.00578783,predetermined
3,B3,12/12/2024,4,0.004202588,DSNB
4,A5,12/12/2024,5,-0.007390674,predetermined
5,B7,12/12/2024,6,0.018733069,DSNB
6,A11,12/12/2024,7,-0.002418761,predetermined
7,B10,12/12/2024,8,-0.009153106,DSNB
8,B12,12/12/2024,9,0.012463004,DSNB
9,A10,12/12/2024,10,-0.017323365,predetermined
10,B12,12/16/2024,31,0.080983235,DSNB
11,B10,12/16/2024,32,0.009066013,DSNB
12,A10,12/16/2024,33,0.015430662,predetermined
13,A11,12/16/2024,34,0.014034542,predetermined
14,B7,12/16/2024,35,0.038530794,DSNB
15,A5,12/16/2024,36,0.014034542,predetermined
16,B3,12/16/2024,37,-0.009829223,DSNB
17,B2,12/16/2024,38,0.00848387,DSNB
18,A2,12/16/2024,39,0.018241024,predetermined
19,A3,12/16/2024,40,0.008431939,predetermined
20,B2,12/19/2024,41,0.040972429,DSNB
21,A2,12/19/2024,42,0.042774527,predetermined
22,A3,12/19/2024,43,0.026446825,predetermined
23,B3,12/19/2024,44,0.011810419,DSNB
24,A5,12/19/2024,45,0.009153248,predetermined
25,B7,12/19/2024,46,0.064602983,DSNB
26,A11,12/19/2024,47,0.028191558,predetermined
27,A10,12/19/2024,48,0.034391631,predetermined
28,B10,12/19/2024,49,0.009987549,DSNB
29,B12,12/19/2024,50,0.046695084,DSNB
34,B10,12/23/2024,64,0.049510471,DSNB
35,A10,12/23/2024,65,0.025909324,predetermined
36,B12,12/23/2024,66,0.025118057,DSNB
37,A11,12/23/2024,67,0.015266647,predetermined
42,B7,12/23/2024,72,0.037330262,DSNB
43,A5,12/23/2024,73,0.008127332,predetermined
44,B3,12/23/2024,74,0.017274645,DSNB
45,A3,12/23/2024,75,-0.015481654,predetermined
46,B2,12/23/2024,76,0.022188738,DSNB
47,A2,12/23/2024,77,0.042511587,predetermined
48,B2,12/26/2024,78,0.020244308,DSNB
49,A2,12/26/2024,79,0.017908735,predetermined
50,B3,12/26/2024,80,0.010697221,DSNB
51,A3,12/26/2024,81,0.022251847,predetermined
52,A5,12/26/2024,82,0.020455659,predetermined
53,B7,12/26/2024,83,0.033435574,DSNB
54,A10,12/26/2024,84,0.021206394,predetermined
55,B10,12/26/2024,85,0.013590189,DSNB
56,B12,12/26/2024,86,0.02325425,DSNB
57,A11,12/26/2024,87,0.020455659,predetermined
62,B10,12/31/2024,92,0.01462228,DSNB
63,A10,12/31/2024,93,0.017797095,predetermined
64,A11,12/31/2024,94,0.026420516,predetermined
65,B12,12/31/2024,95,0.011733885,DSNB
70,B7,12/31/2024,100,0.018859637,DSNB
71,A5,12/31/2024,101,0.009779762,predetermined
72,B3,12/31/2024,102,0.009975203,DSNB
73,A3,12/31/2024,103,0.011373795,predetermined
74,B2,12/31/2024,104,0.017920396,DSNB
75,A2,12/31/2024,105,0.007501039,predetermined
76,A2,1/13/2025,11,0.023692031,predetermined
77,B2,1/13/2025,12,0.0272244,DSNB
78,A3,1/13/2025,13,0.024307839,predetermined
79,B3,1/13/2025,14,0.027284988,DSNB
80,A5,1/13/2025,15,0.023692031,predetermined
81,B7,1/13/2025,16,0.052083528,DSNB
82,A10,1/13/2025,17,0.020992614,predetermined
83,A11,1/13/2025,18,0.02577564,predetermined
84,B10,1/13/2025,19,0.081488451,DSNB
85,B12,1/13/2025,20,0.02369809,DSNB
86,B2,1/16/2025,21,0.075797225,DSNB
87,A2,1/16/2025,22,0.013210458,predetermined
88,B3,1/16/2025,23,0.015857671,DSNB
89,A3,1/16/2025,24,0.015851226,predetermined
90,A5,1/16/2025,25,0.014284005,predetermined
91,B7,1/16/2025,26,0.06397614,DSNB
92,B10,1/16/2025,27,0.053317621,DSNB
93,B12,1/16/2025,28,0.029670836,DSNB
94,A11,1/16/2025,29,0.013790332,predetermined
95,A10,1/16/2025,30,0.014284005,predetermined
96,B12,1/20/2025,55,0.049648161,DSNB
97,A11,1/20/2025,56,0.020980343,predetermined
98,B10,1/20/2025,57,0.043449909,DSNB
99,A10,1/20/2025,58,0.020096263,predetermined
100,A5,1/20/2025,59,0.020096263,predetermined
101,B7,1/20/2025,60,0.059941068,DSNB
102,A3,1/20/2025,61,0.02178559,predetermined
103,B2,1/20/2025,62,0.045553505,DSNB
104,A2,1/20/2025,63,0.017522854,predetermined
105,A2,1/22/2025,3,0.018200233,predetermined
106,B2,1/22/2025,4,0.032178587,DSNB
107,A3,1/22/2025,5,0.019865306,predetermined
108,B3,1/22/2025,6,0.015368033,DSNB
109,A5,1/22/2025,7,0.005915824,predetermined
110,B7,1/22/2025,8,0.024230045,DSNB
111,A10,1/22/2025,9,0.033017652,predetermined
112,B10,1/22/2025,10,0.029000605,DSNB
113,A11,1/22/2025,11,0.014002149,predetermined
114,B12,1/22/2025,12,0.020372955,DSNB
115,B12,1/29/2025,2,0.024736329,DSNB
116,A11,1/29/2025,3,0.020172406,predetermined
117,B10,1/29/2025,4,0.046661447,DSNB
118,A10,1/29/2025,5,0.027106326,predetermined
119,B7,1/29/2025,6,0.006516143,DSNB
120,A5,1/29/2025,7,0.021076134,predetermined
121,B3,1/29/2025,8,0.02479707,DSNB
122,A3,1/29/2025,9,0.017227149,predetermined
123,B2,1/29/2025,10,0.020970656,DSNB
124,A2,1/29/2025,11,0.019798654,predetermined
125,B2,2/5/2025,4,0.024965284,DSNB
126,B3,2/5/2025,5,0.029510123,DSNB
127,A2,2/5/2025,6,0.012047982,predetermined
128,A3,2/5/2025,7,0.009014551,predetermined
129,B7,2/5/2025,8,0.031441299,DSNB
130,B10,2/5/2025,9,0.016255964,DSNB
131,A5,2/5/2025,10,0.013854331,predetermined
132,A10,2/5/2025,11,0.01512334,predetermined
133,A11,2/5/2025,12,0.019231452,predetermined
134,B12,2/5/2025,13,0.012376974,DSNB
