TIMESTAMP,DAP,A1_40,A2_40,A3_40,A4_40,B1_40,B2_40,B3_40,B4_40,A_irrigation_mm,B_irrigation_mm,A_N_Conc,B_N_Conc,A4_drain,A5_drain,A7_drain,A10_drain_and_vac40_l,B3_drain,B6_drain,B8_drain,B9_drain
,,mg/l NO3-N,mg/l NO3-N,mg/l NO3-N,mg/l NO3-N,mg/l NO3-N,mg/l NO3-N,mg/l NO3-N,mg/l NO3-N,mm,mm,mg/l NO3-N,mg/l NO3-N,l,l,l,l,l,l,l,l
,days after planting,SNS,SNS,SNS,SNS,SNS,SNS,SNS,SNS,irrigation in mm,irrigation in mm,applied fertigation conc ,applied fertigation conc ,drainage,drainage,drainage,drainage,drainage,drainage,drainage,drainage
12/8/2024,0,0,2.44625,0,0,0.382916667,0.159583333,0,0,5,5,45,70,0.437201056,0.437201056,0.716701056,0.437201056,0.517682872,0.517682872,0.517682872,0.517682872
12/9/2024,1,0,2.517352941,0,0,0.657892157,1.608872549,0,0,5,5,45,70,0.725149277,0.402149277,0.412149277,0.452149277,0.515394204,0.488394204,0.605394204,0.488394204
12/10/2024,2,0,2.381813725,0,0,0.392107843,2.076544118,0,0,5,5,45,70,0.664510499,0.389510499,0.409510499,0.595910499,0.623302548,0.443302548,0.718302548,0.443302548
12/11/2024,3,0,2.087678571,0,0,0.282916667,1.975416667,0,0,5,5,45,70,0.683735843,0.429735843,0.439735843,0.610735843,0.712016594,0.510016594,0.755016594,0.510016594
12/12/2024,4,0,1.778154762,0,0,2.206875,3.440625,0.122916667,0,5,5,45,70,0.641944653,0.374944653,0.384944653,0.539944653,0.558371894,0.405371894,0.635371894,0.405371894
12/13/2024,5,0,1.806666667,0,0,1.852291667,1.799791667,0,0.21375,5,5,45,70,0.722727708,0.524960708,0.534190708,0.614660708,0.684828334,0.610961334,0.728461334,0.606761334
12/14/2024,6,0,1.653333333,0,0,6.061666667,3.671875,0,4.084166667,5,5,45,70,0.693075189,0.495308189,0.504538189,0.585008189,0.656149483,0.582282483,0.699782483,0.578082483
12/15/2024,7,0,1.419583333,0,0,10.15208333,3.569375,0,8.514166667,5,5,45,70,0.38783479,0.19006779,0.19929779,0.27976779,0.32301484,0.24914784,0.36664784,0.24494784
12/16/2024,8,0,0.897708333,0,0.09425,14.45833333,4.260737179,0,11.78458333,4,4,13,70,0.493630364,0.181630364,0.181630364,0.437630364,0.471570696,0.376570696,0.539570696,0.361570696
12/17/2024,9,0.016145833,0.438125,0,0.8345,19.33083333,3.924054487,0.685,16.56666667,4,4,15,70,0.497099632,0.180099632,0.131099632,0.452099632,0.337733174,0.388733174,0.469233174,0.418733174
12/18/2024,10,0.7359375,1.125208333,0.119583333,4.207916667,23.48416667,14.71952381,4.1725,21.72208333,4,4,25,70,0.617285851,0.407285851,0.289285851,0.581285851,0.454577252,0.647577252,0.627577252,0.574577252
12/19/2024,11,4.658333333,3.044583333,1.473541667,8.849166667,26.40125,25.60976786,10.13166667,23.99375,4,4,28,70,0.41082766,0.25522766,0.26752766,0.38182766,0.294408801,0.502808801,0.383508801,0.272308801
12/20/2024,12,9.173333333,5.296666667,4.912916667,12.75833333,30.37375,30.95966667,16.87375,25.11333333,4,4,56,70,0.599455341,0.423555341,0.423555341,0.520355341,0.525931693,0.508531693,0.589931693,0.490101693
12/21/2024,13,13.76041667,8.05125,9.8125,15.81208333,33.81833333,38.653125,22.61708333,25.99,4,4,44,70,0.642250108,0.466350108,0.466350108,0.563150108,0.56692886,0.54952886,0.63092886,0.53109886
12/22/2024,14,17.47583333,10.45916667,12.92375,16.6675,35.07875,21.25041667,27.26208333,26.94416667,4,4,35,70,0.58804919,0.41214919,0.41214919,0.50894919,0.555743062,0.538343062,0.619743062,0.519913062
12/23/2024,15,21.09395833,13.62625,13.39375,18.58416667,37.608125,np.nan,32.56,29.21895833,4,4,31,70,0.468580769,0.294580769,0.374580769,0.331580769,0.388436388,0.783436388,0.393436388,0.388436388
12/24/2024,16,23.97979167,15.0175,13.36125,19.13729167,38.02145833,np.nan,35.14708333,30.60395833,4,4,35,70,0.552487377,0.253487377,0.481287377,0.390487377,0.344989494,0.810639494,0.379639494,0.312139494
12/25/2024,17,26.476875,16.86,13.55041667,19.77645833,40.069375,np.nan,38.30625,31.88604167,4,4,41,70,0.695508053,0.271508053,0.647108053,0.508508053,0.361478959,0.897778959,0.425778959,0.295778959
12/26/2024,18,27.40875,18.22458333,13.75625,19.768125,42.87208333,np.nan,41.81416667,33.05083333,4,4,44,70,0.558376844,0.346576844,0.709576844,0.471076844,0.402352765,0.635252765,0.450052765,0.319352765
12/27/2024,19,26.83458333,18.87,12.725625,19.313125,43.64041667,np.nan,43.95291667,33.95041667,4,4,48,70,0.351119249,0.261785916,0.680119249,0.361119249,0.373439378,0.681106045,0.379439378,0.314439378
12/28/2024,20,26.525,19.965,14.09,19.78791667,45.40125,np.nan,46.41625,35.14979167,4,4,46,70,0.365633012,0.276299678,0.694633012,0.375633012,0.390740774,0.698407441,0.396740774,0.331740774
12/29/2024,21,25.91291667,20.73875,17.25833333,20.58916667,46.104375,np.nan,48.19895833,35.91104167,4,4,42,70,0.38332383,0.293990497,0.71232383,0.39332383,0.425430684,0.733097351,0.431430684,0.366430684
12/30/2024,22,26.40854167,21.63791667,16.75479167,22.355625,47.1,np.nan,49.50416667,36.255625,4,4,41,70,0.416858545,0.294858545,0.756858545,0.434858545,0.476111204,0.825111204,0.472111204,0.377111204
12/31/2024,23,26.69333333,23.52854167,9.590208333,24.94833333,47.63375,np.nan,51.28666667,37.35333333,4,4,43,70,0.307750802,0.306750802,0.568850802,0.306750802,0.414721486,0.646021486,0.413421486,0.413421486
1/1/2025,24,26.27083333,24.68,1.570416667,25.986875,46.35416667,np.nan,50.98,37.27854167,3,3,43,70,0.322993725,0.321993725,0.584093725,0.321993725,0.426952685,0.658252685,0.425652685,0.425652685
1/2/2025,25,25.70354167,25.07583333,0.001666667,26.146875,45.45166667,np.nan,50.725,37.29166667,3,3,45,70,0.323063169,0.322063169,0.584063169,0.322063169,0.449721213,0.681721213,0.448721213,0.448721213
1/3/2025,26,25.34645833,25.34958333,0,25.73083333,45.099375,np.nan,51.03979167,37.73791667,3,3,47,70,0.281994073,0.288994073,0.617994073,0.281994073,0.33550422,0.63550422,0.33550422,0.33550422
1/4/2025,27,24.384375,25.15104167,0,25.14520833,44.58479167,np.nan,50.82104167,37.82333333,3,3,48,70,0.259181772,0.266181772,0.595181772,0.259181772,0.313150049,0.613150049,0.313150049,0.313150049
1/5/2025,28,23.12479167,25.26354167,0,23.77916667,43.48791667,np.nan,50.17833333,37.50333333,3,3,49,70,0.254789449,0.261789449,0.590789449,0.254789449,0.293269996,0.593269996,0.293269996,0.293269996
1/6/2025,29,22.42479167,25.15770833,0,23.43958333,43.64229167,np.nan,50.37375,37.738125,3,3,49,70,0.271924716,0.271924716,0.615924716,0.271924716,0.311303173,0.612303173,0.311303173,0.311303173
1/7/2025,30,21.38395833,24.85020833,0,22.53770833,45.96556327,np.nan,50.73153646,36.752875,3,3,70,70,0.357514249,0.357514249,0.628514249,0.357514249,0.402897777,0.687497777,0.402897777,0.402897777
1/8/2025,31,20.42645833,25.07666667,0,26.04145833,46.36193673,np.nan,49.05742187,39.57983333,3.5,3,70,50,0.326993682,0.326993682,0.597993682,0.326993682,0.403054587,0.671254587,0.403054587,0.403054587
1/9/2025,32,19.7525,25.485625,8.648333333,33.05229167,52.64666667,np.nan,52.71729167,53.07291667,4,0.1,70,0,0.247897148,0.247897148,0.497897148,0.247897148,0.328726533,0.580526533,0.328726533,0.328726533
1/10/2025,33,19.35166667,26.00104167,0.309583333,29.783125,52.75708333,np.nan,52.66354167,54.184375,4,1,53,70,0.27650801,0.27650801,0.54830801,0.27650801,0.334249738,0.569649738,0.334249738,0.334249738
1/11/2025,34,18.45375,26.32833333,0,28.54,52.178125,np.nan,52.11895833,53.75354167,4,1,54,70,0.2978968,0.2878968,0.6083968,0.5428968,0.396747331,0.615747331,0.396747331,0.396747331
1/12/2025,35,17.17791667,25.55875,0,29.63479167,50.24729167,np.nan,51.03666667,52.13145833,4,1,60,70,0.307584215,0.297584215,0.618084215,0.552584215,0.399935805,0.618935805,0.399935805,0.399935805
